"#instruction","registertype","num operands","imm op","test mode","instr set","options"
"vpcmpd",512,3,1,"maskcmplt","avx512",
"vpcmpud",512,3,2,"maskcmplt","avx512",
"vpcmpuq",512,3,5,"maskcmplt","avx512",
,,,,,,
"vptestmd",128,3,,"maskcmplt","avx512vl",
"vptestmd",256,3,,"maskcmplt","avx512vl",
"vptestmd",512,3,,"maskcmplt","avx512",
"vptestmq",128,3,,"maskcmplt","avx512vl",
"vptestmq",256,3,,"maskcmplt","avx512vl",
"vptestmq",512,3,,"maskcmplt","avx512",
,,,,,,
"pmullw","mmx",2,,"lt","mmx",
"pmullw",128,2,,"ltm","sse2",
"vpmullw",256,3,,"lt","avx2",
"vpmullw",512,3,,"lt","avx512bw",
"pmulhw",128,2,,"lt","sse2",
"vpmulhuw",256,3,,"lt","avx2",
"pmulhrsw",128,2,,"lt","ssse3",
"pmulld",128,2,,"lt","sse4.1",
"vpmulld",256,3,,"ltm","avx2",
"vpmulld",512,3,,"ltm","avx512",
"vpmullq",128,3,,"lt","avx512vl",
"vpmullq",256,3,,"lt","avx512vl",
"vpmullq",512,3,,"lt","avx512dq",
"pmuldq",128,2,,"lt","sse4.1",
"vpmuldq",256,3,,"ltm","avx2",
"vpmuldq",512,3,,"lt","avx512",
"pmuludq",128,2,,"lt","sse2",
"vpmuludq",256,3,,"lt","avx2",
"vpmuludq",512,3,,"lt","avx512",
"vpmullq",513,3,,"lt","avx512dq",
,,,,,,
"pmaddubsw","mmx",2,,"lt","ssse3",
"pmaddubsw",128,2,,"lt","ssse3",
"vpmaddubsw",256,3,,"lt","avx2",
"vpmaddubsw",512,3,,"lt","avx512bw",
"pmaddwd","mmx",2,,"lt","mmx",
"pmaddwd",128,2,,"lt","sse2",
"vpmaddwd",256,3,,"lt","avx2",
"vpmaddwd",512,3,,"lt","avx512bw",
,,,,,,
"pavgb","mmx",2,,"lt","sse",
"pavgb",128,2,,"ltm","sse2",
"vpavgb",256,3,,"lt","avx2",
"vpavgb",512,3,,"lt","avx512bw",
"pavgw",128,2,,"lt","sse2",
"vpavgw",256,3,,"lt","avx2",
"vpavgw",512,3,,"lt","avx512bw",
,,,,,,
"pminsb",128,2,,"ltm","sse4.2",
"vpminsb",256,3,,"lt","avx2",
"vpminsb",512,3,,"lt","avx512bw",
"pminsw","mmx",2,,"lt","sse",
"vpminsw",256,3,,"lt","avx2",
"vpminsd",256,3,,"ltm","avx2",
"vpminsq",512,3,,"lt","avx512",
"vpminud",256,3,,"lt","avx2",
"vpminuq",512,3,,"lt","avx512",
"vpmaxsd",256,3,,"lt","avx2",
"vpmaxud",256,3,,"lt","avx2",
,,,,,,
"phminposuw",128,2,,"ltm","sse4.1",
,,,,,,
"pabsb","mmx",2,,"lt","ssse3",
"pabsb",128,2,,"lt","ssse3",
"vpabsb",256,2,,"lt","avx2",
"vpabsb",512,2,,"lt","avx512bw",
"vpabsw",256,2,,"lt","avx2",
"vpabsd",256,2,,"ltm","avx2",
"vpabsq",512,2,,"lt","avx512",
,,,,,,
"psignb","mmx",2,,"lt","ssse3",
"psignb",128,2,,"ltm","ssse3",
"vpsignb",256,3,,"lt","avx2",
"vpsignw",256,3,,"lt","avx2",
"vpsignd",256,3,,"lt","avx2",
,,,,,,
"psadbw","mmx",2,,"lt","sse",
"psadbw",128,2,,"lt","sse2",
"vpsadbw",256,3,,"lt","avx2",
"vpsadbw",512,3,,"lt","avx512bw",
"mpsadbw",128,2,1,"lt","sse4.1",
"vmpsadbw",256,3,1,"lt","avx2",
