"#instruction","registertype","num operands","imm op","test mode","instr set","options"
,,,,,,
"$text=\ninteger vector arithmetic instructions",,,,,,
,,,,,,
"paddb","mmx",2,,"lt","mmx",
"paddb",128,2,,"ltm","sse2",
"vpaddb",256,3,,"ltm","avx2",
"vpaddb",512,3,,"lt","avx512bw",
"paddw","mmx",2,,"lt","mmx",
"paddw",128,2,,"lt","sse2",
"vpaddw",256,3,,"lt","avx2",
"vpaddw",512,3,,"lt","avx512bw",
"paddd",128,2,,"lt","sse2",
"vpaddd",256,3,,"lt","avx2",
"vpaddd",512,3,,"lt","avx512",
"paddq",128,2,,"lt","sse2",
"vpaddq",256,3,,"lt","avx2",
"vpaddq",512,3,,"lt","avx512",
,,,,,,
"paddsb",128,2,,"lt","sse2",
"paddsw",128,2,,"lt","sse2",
"paddusb",128,2,,"lt","sse2",
"vpaddusw",256,3,,"lt","avx2",
"vpsubd",256,3,,"lt","avx2",
"psubusb",128,2,,"lt","sse2",
"vpsubsw",256,3,,"lt","avx2",
,,,,,,
"phaddw","mmx",2,,"lt","ssse3",
"phaddw",128,2,,"ltm","ssse3",
"vphaddw",256,3,,"lt","avx2",
"phaddd","mmx",2,,"lt","ssse3",
"phaddd",128,2,,"lt","ssse3",
"vphaddd",256,3,,"lt","avx2",
"phaddsw",128,2,,"lt","ssse3",
"phsubw",128,2,,"lt","ssse3",
"vphsubd",256,3,,"lt","avx2",
,,,,,,
"pcmpeqb","mmx",2,,"lt",,
"pcmpeqb",128,2,,"ltm","sse2",
"vpcmpeqb",256,3,,"lt","avx2",
"vpcmpeqb",512,3,,"maskcmplt","avx512bw",
"pcmpeqw",128,2,,"lt","sse2",
"vpcmpeqw",256,3,,"lt","avx2",
"vpcmpeqw",512,3,,"maskcmplt","avx512bw",
"pcmpeqd",128,2,,"lt","sse2",
"vpcmpeqd",256,3,,"lt","avx2",
"vpcmpeqd",512,3,,"maskcmplt","avx512",
"pcmpeqq",128,2,,"lt","sse4.1",
"vpcmpeqq",256,3,,"lt","avx2",
"vpcmpeqq",512,3,,"maskcmplt","avx512",
"pcmpgtb",128,2,,"ltm","sse2",
"vpcmpgtw",256,3,,"lt","avx2",
"vpcmpgtd",512,3,,"maskcmplt","avx512",
"pcmpgtq",128,2,,"lt","sse4.2",
,,,,,,
